airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-03-27,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4392
Jet Airways,2019-03-27,Delhi,Cochin,16:00:00,19:45:00,1665,1.0,In-flight meal not included,5963
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,23:35:00,1585,1.0,In-flight meal not included,10844
Jet Airways,2019-03-24,Banglore,New Delhi,05:45:00,10:25:00,280,1.0,In-flight meal not included,8147
Indigo,2019-05-12,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,5740
Indigo,2019-06-27,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5054
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,10:45:00,710,1.0,In-flight meal not included,11087
Air Asia,2019-03-06,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No Info,4384
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,09:30:00,875,1.0,In-flight meal not included,11087
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No Info,11467
Indigo,2019-05-12,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,10:05:00,1055,1.0,No Info,13044
Indigo,2019-05-21,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Indigo,2019-03-03,Mumbai,Hyderabad,21:20:00,22:45:00,85,0.0,No Info,4784
Air Asia,2019-03-27,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,6151
Spicejet,2019-04-15,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,4423
Indigo,2019-05-15,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No Info,14388
Multiple Carriers,2019-05-21,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,7485
Spicejet,2019-06-21,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Indigo,2019-04-21,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Indigo,2019-04-06,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4174
Air Asia,2019-03-27,Delhi,Cochin,20:10:00,07:10:00,660,1.0,No Info,6151
Jet Airways,2019-05-27,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,16704
Indigo,2019-03-18,Kolkata,Banglore,15:20:00,17:55:00,155,0.0,No Info,4462
Goair,2019-05-24,Kolkata,Banglore,23:30:00,07:45:00,495,1.0,No Info,7335
Air India,2019-06-09,Kolkata,Banglore,16:50:00,13:45:00,1255,2.0,No Info,11752
Multiple Carriers,2019-05-27,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No Info,10407
Air India,2019-06-27,Delhi,Cochin,13:15:00,07:40:00,1105,2.0,No Info,13547
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,10844
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,20:45:00,1695,1.0,In-flight meal not included,10844
Jet Airways,2019-03-21,Banglore,New Delhi,05:50:00,12:20:00,390,1.0,In-flight meal not included,6163
Jet Airways,2019-05-09,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No Info,15554
Indigo,2019-06-09,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Indigo,2019-03-15,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No Info,6297
Air India,2019-03-03,Banglore,New Delhi,00:30:00,23:55:00,1405,1.0,No Info,10394
Indigo,2019-05-27,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6314
Spicejet,2019-05-27,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No Info,3597
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,09:00:00,1280,1.0,In-flight meal not included,11087
Air India,2019-06-15,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,9929
Air Asia,2019-04-24,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4107
Air India,2019-05-27,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3625
Multiple Carriers,2019-03-27,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,6637
Indigo,2019-06-09,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No Info,11465
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,In-flight meal not included,8529
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,21:20:00,435,1.0,No Info,19225
Vistara,2019-05-09,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Air India,2019-05-18,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3100
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,08:15:00,1455,1.0,No Info,22270
Indigo,2019-04-21,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Air India,2019-06-27,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10441
Spicejet,2019-04-15,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,4319
Indigo,2019-03-03,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,8855
Air India,2019-06-09,Delhi,Cochin,21:00:00,19:15:00,1335,1.0,No Info,8372
Indigo,2019-04-27,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,7173
Indigo,2019-06-12,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Indigo,2019-03-15,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4049
Goair,2019-03-15,Banglore,New Delhi,07:45:00,10:40:00,175,0.0,No Info,5706
Indigo,2019-05-18,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,7520
Indigo,2019-05-21,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Spicejet,2019-03-03,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No Info,6860
Multiple Carriers,2019-06-27,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,12192
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,8586
Indigo,2019-03-09,Banglore,New Delhi,20:00:00,22:55:00,175,0.0,No Info,6144
Air India,2019-05-15,Kolkata,Banglore,05:50:00,08:55:00,1625,2.0,No Info,12723
Indigo,2019-05-27,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,In-flight meal not included,8529
Jet Airways,2019-06-12,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,No Info,13882
Indigo,2019-06-27,Kolkata,Banglore,20:25:00,23:10:00,165,0.0,No Info,4804
Air India,2019-06-01,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10441
Jet Airways,2019-06-24,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,No Info,13014
Jet Airways,2019-06-01,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,16079
Multiple Carriers,2019-06-01,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7530
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,01:30:00,840,1.0,In-flight meal not included,6733
Jet Airways,2019-05-27,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14388
Jet Airways,2019-06-24,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,10262
Indigo,2019-03-06,Delhi,Cochin,16:00:00,01:35:00,575,1.0,No Info,14871
Jet Airways,2019-06-15,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,7229
Jet Airways,2019-03-06,Delhi,Cochin,15:05:00,04:25:00,800,1.0,No Info,15764
Air India,2019-06-12,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No Info,14960
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,In-flight meal not included,9663
Air Asia,2019-06-15,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Jet Airways,2019-05-09,Delhi,Cochin,10:00:00,12:35:00,1595,1.0,In-flight meal not included,12373
Air India,2019-05-06,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3625
Indigo,2019-03-03,Delhi,Cochin,11:55:00,21:20:00,565,2.0,No Info,9413
Jet Airways,2019-05-15,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,In-flight meal not included,8586
Indigo,2019-06-03,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,6104
Multiple Carriers,2019-03-06,Delhi,Cochin,15:05:00,01:35:00,630,2.0,No Info,21483
Jet Airways,2019-05-27,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7989
Jet Airways,2019-05-21,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030
Indigo,2019-03-06,Delhi,Cochin,06:40:00,22:20:00,940,1.0,No Info,6442
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,No Info,12681
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,9899
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No Info,11467
Multiple Carriers,2019-03-06,Delhi,Cochin,07:10:00,21:20:00,850,2.0,In-flight meal not included,7731
Air India,2019-06-15,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,10975
Air India,2019-05-21,Kolkata,Banglore,12:00:00,13:15:00,1515,1.0,No Info,7662
Air India,2019-03-27,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,5957
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,23:00:00,365,1.0,In-flight meal not included,11087
Spicejet,2019-06-27,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,4319
Multiple Carriers,2019-05-18,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,14533
Jet Airways,2019-03-27,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,12242
Spicejet,2019-06-21,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Jet Airways,2019-04-03,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,4544
Spicejet,2019-03-09,Delhi,Cochin,06:10:00,11:20:00,310,1.0,No Info,8382
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,10844
Jet Airways,2019-05-12,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Multiple Carriers,2019-06-24,Delhi,Cochin,03:50:00,12:35:00,525,1.0,No Info,12192
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12898
Vistara,2019-04-06,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,5613
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,23:00:00,1585,1.0,In-flight meal not included,11087
Indigo,2019-03-01,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,6565
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,7757
Indigo,2019-05-15,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,14151
Jet Airways,2019-05-27,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,12239
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,19:00:00,300,1.0,No Info,14714
Air India,2019-05-24,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,10151
Multiple Carriers,2019-05-21,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,7787
Spicejet,2019-05-18,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Spicejet,2019-06-18,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Jet Airways,2019-06-01,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13014
Air India,2019-06-24,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6961
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,No Info,13044
Indigo,2019-05-01,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,08:15:00,1455,1.0,No Info,17996
Air India,2019-06-06,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No Info,13591
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,10197
Air India,2019-04-09,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,6674
Air India,2019-04-01,Kolkata,Banglore,07:00:00,10:00:00,1620,2.0,No Info,9836
Indigo,2019-06-15,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,6412
Multiple Carriers,2019-05-27,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No Info,10786
Indigo,2019-03-03,Delhi,Cochin,06:40:00,16:10:00,570,1.0,No Info,9027
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13727
Indigo,2019-03-21,Delhi,Cochin,04:45:00,15:30:00,645,1.0,No Info,7738
Jet Airways,2019-03-09,Delhi,Cochin,15:05:00,04:25:00,800,1.0,In-flight meal not included,14053
Indigo,2019-03-12,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4148
Vistara,2019-06-15,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Air India,2019-06-06,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,11753
Air India,2019-06-27,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,11942
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,21:20:00,1350,1.0,No Info,17471
Jet Airways,2019-06-01,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,No Info,14714
Vistara,2019-03-12,Mumbai,Hyderabad,08:45:00,16:45:00,480,1.0,No Info,12080
Indigo,2019-05-18,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,6347
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,10262
Indigo,2019-04-09,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,6093
Jet Airways,2019-06-15,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,10262
Jet Airways,2019-03-21,Delhi,Cochin,07:05:00,18:50:00,705,1.0,No Info,12767
Jet Airways,2019-06-01,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Air India,2019-04-03,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No Info,5022
Spicejet,2019-03-06,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,7298
Indigo,2019-06-21,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,4392
Spicejet,2019-05-27,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2385
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,8586
Multiple Carriers,2019-05-24,Delhi,Cochin,14:55:00,22:30:00,455,1.0,No Info,7740
Air India,2019-05-18,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4880
Multiple Carriers,2019-06-15,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13587
Indigo,2019-05-09,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5000
Air India,2019-05-18,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Air India,2019-03-24,Banglore,New Delhi,17:00:00,19:45:00,165,0.0,No Info,5176
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844
Spicejet,2019-05-21,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Jet Airways,2019-05-09,Delhi,Cochin,20:55:00,04:25:00,450,1.0,No Info,15554
Spicejet,2019-05-18,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Indigo,2019-05-15,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6979
Indigo,2019-05-21,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,8745
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,14571
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,23:25:00,390,1.0,In-flight meal not included,11134
Air India,2019-04-03,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4460
Indigo,2019-05-18,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Air Asia,2019-03-24,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,No Info,6785
Jet Airways,2019-03-06,Delhi,Cochin,02:15:00,18:50:00,995,1.0,No Info,17024
Indigo,2019-03-21,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3384
Air India,2019-05-24,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,9941
Indigo,2019-06-06,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6386
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,10:45:00,950,1.0,In-flight meal not included,11087
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No Info,9187
Jet Airways,2019-05-15,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,No Info,14781
Indigo,2019-03-03,Kolkata,Banglore,15:10:00,17:45:00,155,0.0,No Info,6985
Jet Airways,2019-06-12,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,10262
Indigo,2019-03-15,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No Info,3175
Jet Airways,2019-03-21,Mumbai,Hyderabad,03:05:00,04:25:00,80,0.0,In-flight meal not included,2759
Air India,2019-05-21,Kolkata,Banglore,09:50:00,08:55:00,1385,2.0,No Info,14960
Indigo,2019-03-03,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No Info,7295
Jet Airways,2019-05-03,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Indigo,2019-03-01,Mumbai,Hyderabad,21:20:00,22:45:00,85,0.0,No Info,12475
Indigo,2019-06-09,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,5224
Air India,2019-06-12,Kolkata,Banglore,09:50:00,08:55:00,1385,2.0,No Info,14960
Multiple Carriers,2019-06-12,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,11789
Indigo,2019-04-03,Delhi,Cochin,14:20:00,17:35:00,195,0.0,No Info,4729
Indigo,2019-05-27,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No Info,3419
Jet Airways,2019-03-21,Banglore,New Delhi,18:40:00,07:40:00,780,1.0,In-flight meal not included,7832
Indigo,2019-03-09,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6674
Indigo,2019-05-15,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Multiple Carriers,2019-06-24,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,13377
Indigo,2019-05-18,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Air India,2019-05-12,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,10676
Jet Airways,2019-06-15,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,09:10:00,19:15:00,605,1.0,No Info,10667
Indigo,2019-03-03,Banglore,New Delhi,05:25:00,10:10:00,285,1.0,No Info,7774
Spicejet,2019-04-27,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Jet Airways,2019-05-09,Delhi,Cochin,10:00:00,19:00:00,540,1.0,In-flight meal not included,12373
Air India,2019-06-27,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4145
Jet Airways,2019-06-27,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,12898
Goair,2019-06-09,Delhi,Cochin,05:55:00,13:35:00,460,1.0,No Info,5199
Goair,2019-04-24,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,4692
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,13344
Multiple Carriers,2019-03-21,Delhi,Cochin,13:00:00,01:35:00,755,1.0,No Info,8098
Indigo,2019-03-21,Delhi,Cochin,09:10:00,01:35:00,985,1.0,No Info,8765
Air India,2019-06-12,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No Info,13532
Spicejet,2019-05-27,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Indigo,2019-06-24,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,4804
Multiple Carriers,2019-06-24,Delhi,Cochin,10:20:00,19:00:00,520,1.0,In-flight meal not included,10791
Vistara,2019-03-01,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No Info,21520
Indigo,2019-04-15,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4174
Spicejet,2019-05-01,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4174
Indigo,2019-06-24,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,13941
Spicejet,2019-03-24,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No check-in baggage included,2175
Indigo,2019-04-12,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4174
